ID | Nombre                      | Familia      | Año  | Evidencia | Notas
--- | --------------------------- | ------------ | ---- | --------- | -----
01  | Trojan.Adwaheck             | Adwaheck     | 2004 | dump      |
02  | Trojan.AphexLace.Kit        | AphexLace    | 2004 | dump      |
03  | Trojan.Mercurycas.A         | Mercurycas   | 2004 | dump      |
04  | Trojan.Mitglieder.F         | Mitglieder   | 2004 | dump      |
05  | Trojan.Mitglieder.H         | Mitglieder   | 2004 | dump      |
06  | Trojan.Mitglieder.I         | Mitglieder   | 2004 | dump      |
07  | Trojan.Mitglieder.J         | Mitglieder   | 2004 | dump      |
08  | Trojan.Popdis               | Popdis       | 2004 | dump      |
09  | W32.Arcam                   | Arcam        | 2003 | dump      |
10  | W32.Beagle.W@mm             | Beagle       | 2004 | dump      |
11  | W32.Beagle.X@mm             | Beagle       | 2004 | dump      |
12  | W32.Blaster.T.Worm          | Blaster      | 2003 | dump      |
13  | W32.Bugbear.C@mm            | Bugbear      | 2003 | dump      |
14  | W32.Bugbear.E@mm            | Bugbear      | 2003 | dump      |
15  | W32.Bugbros.B@mm            | Bugbros      | 2003 | dump      |
16  | W32.Dumaru.AI               | Dumaru       | 2004 | dump      |
17  | W32.Erkez.A@mm              | Erkez        | 2004 | dump      |
18  | W32.Gaobot.AAY              | Gaobot       | 2004 | dump      |
19  | W32.Gaobot.ADN              | Gaobot       | 2004 | dump      |
20  | W32.Gaobot.ADV              | Gaobot       | 2004 | dump      |
21  | W32.Gaobot.ADW              | Gaobot       | 2004 | dump      |
22  | W32.Gaobot.ADX              | Gaobot       | 2004 | dump      |
23  | W32.Gaobot.AFC              | Gaobot       | 2004 | dump      |
24  | W32.Gaobot.AFJ              | Gaobot       | 2004 | dump      |
25  | W32.Gaobot.AFW              | Gaobot       | 2004 | dump      |
26  | W32.Gaobot.WO               | Gaobot       | 2004 | dump      |
27  | W32.Gaobot.WX               | Gaobot       | 2004 | dump      |
28  | W32.Gaobot.YC               | Gaobot       | 2004 | dump      |
29  | W32.Gaobot.YN               | Gaobot       | 2004 | dump      |
30  | W32.Gaobot.ZW               | Gaobot       | 2004 | dump      |
31  | W32.Gaobot.ZX               | Gaobot       | 2004 | dump      |
32  | W32.HLLP.Shodi.B            | Shodi        | 2004 | dump      |
33  | W32.HLLW.Donk.M             | Donk         | 2003 | dump      |
34  | W32.HLLW.Donk.O             | Donk         | 2003 | dump      |
35  | W32.HLLW.Gearbug@mm         | Gearbug      | 2004 | dump      |
36  | W32.Kotira                  | Kotira       | 2004 | dump      |
37  | W32.Lovgate.R@mm            | Lovgate      | 2004 | dump      |
38  | W32.Maddis.B                | Maddis       | 2004 | dump      |
39  | W32.Misodene@mm             | Misodene     | 2004 | dump      |
40  | W32.Mydoom.I@mm             | Mydoom       | 2004 | dump      |
41  | W32.Mydoom.J@mm             | Mydoom       | 2004 | dump      |
42  | W32.Netsky.AA@mm            | Netsky       | 2004 | dump      |
43  | W32.Netsky.AB@mm            | Netsky       | 2004 | dump      |
44  | W32.Netsky.AC@mm            | Netsky       | 2004 | dump      |
45  | W32.Netsky.B@mm             | Netsky       | 2004 | dump      |
46  | W32.Netsky.S@mm             | Netsky       | 2004 | dump      |
47  | W32.Netsky.T@mm             | Netsky       | 2004 | dump      |
48  | W32.Netsky.U@mm             | Netsky       | 2004 | dump      |
49  | W32.Netsky.V@mm             | Netsky       | 2004 | dump      |
50  | W32.Netsky.W@mm             | Netsky       | 2004 | dump      |
51  | W32.Netsky.X@mm             | Netsky       | 2004 | dump      |
52  | W32.Netsky.Y@mm             | Netsky       | 2004 | dump      |
53  | W32.Netsky.Z@mm             | Netsky       | 2004 | dump      |
54  | W32.Opasa@mm                | Opasa        | 2004 | dump      |
55  | W32.Randex.AAS              | Randex       | 2004 | dump      |
56  | W32.Randex.UG               | Randex       | 2004 | dump      |
57  | W32.Randex.YR               | Randex       | 2004 | dump      |
58  | W32.Sasser.B.Worm           | Sasser       | 2004 | dump      |
59  | W32.Sasser.C.Worm           | Sasser       | 2004 | dump      |
60  | W32.Sasser.D                | Sasser       | 2004 | dump      |
61  | W32.Sasser.Worm             | Sasser       | 2004 | dump      |
62  | W32.Shodi.C                 | Shodi        | 2004 | dump      |
63  | W32.Slime                   | Slime        | 2004 | dump      |
64  | W32.Sober.C@mm              | Sober        | 2003 | dump      |
65  | W32.Solame.A                | Solame       | 2004 | dump      |
66  | W32.Traxg@mm                | Traxg        | 2004 | dump      |
67  | W32.Tunk.A                  | Tunk         | 2004 | dump      |
